"KEY","ENGLISH"
"common.err.task_assignment.done","This assignment cannot be deleted because it is already done."
"cp.btn.add","Add"
"cp.btn.add_answer","Add Answer"
"cp.btn.add_selected","Add Selected"
"cp.btn.back_to_prod_list","Back to Product List"
"cp.btn.back_to_proj_list","Back to Project List"
"cp.btn.back_to_survey_config_list","Back to Survey Config List"
"cp.btn.cancel","Cancel"
"cp.btn.clone","Clone"
"cp.btn.config","Configure"
"cp.btn.delete","Delete"
"cp.btn.edit","Edit"
"cp.btn.enable","Enable"
"cp.btn.disable","Disable"
"cp.btn.export","Export"
"cp.btn.find","Find"
"cp.btn.import","Import"
"cp.btn.import_translations","Import Translations"
"cp.btn.launch","Launch"
"cp.btn.move","Move"
"cp.btn.reset","Reset"
"cp.btn.revoke","Revoke"
"cp.btn.save","Save"
"cp.btn.select_all","Select All"
"cp.btn.start","Start"
"cp.btn.stop","Stop"
"cp.btn.test","Test"
"cp.btn.translate","Translate"
"cp.btn.uncancel","Uncancel"
"cp.btn.unselect_all","Unselect All"
"cp.btn.upload","Upload"
"cp.btn.upload_file","Upload File"
"cp.btn.view","View"
"cp.ch.actions","ACTIONS"
"cp.ch.address","ADDRESS"
"cp.ch.administrator","ADMINISTRATOR"
"cp.ch.algorithm","ALGORITHM"
"cp.ch.assignedUser","ASSIGNED USER"
"cp.ch.assignments","ASSIGNMENTS"
"cp.ch.caseSubject","CASE SUBJECT"
"cp.ch.config_name","CONFIG"
"cp.ch.content_config","CONTENT CONFIG"
"cp.ch.content_type","CONTENT TYPE"
"cp.ch.data","DATA"
"cp.ch.description","DESCRIPTION"
"cp.ch.due_time","DUE TIME"
"cp.ch.edit","Edit"
"cp.ch.effective_date","EFFECTIVE DATE"
"cp.ch.email","EMAIL"
"cp.ch.expirry_date","EXPIRY DATE"
"cp.ch.first_name","FIRST NAME"
"cp.ch.id","ID"
"cp.ch.issue_date","ISSUE DATE"
"cp.ch.label","LABEL"
"cp.ch.last_name","LAST NAME"
"cp.ch.library","LIBRARY"
"cp.ch.managecommemts"," ""Manage Comments"""
"cp.ch.method","METHOD"
"cp.ch.mode","MODE"
"cp.ch.name","NAME"
"cp.ch.organization","ORGANIZATION"
"cp.ch.organizations","ORGANIZATIONS"
"cp.ch.permission","PERMISSION"
"cp.ch.primary_owner","PRIMARY OWNER"
"cp.ch.product","PRODUCT"
"cp.ch.products","PRODUCTS"
"cp.ch.project_admin","PROJECT ADMIN"
"cp.ch.question","QUESTION"
"cp.ch.role","ROLE"
"cp.ch.roles","ROLES"
"cp.ch.usersroles","Users/Roles"
"cp.ch.secondary_owner","SECONDARY OWNERS"
"cp.ch.shortname","SHORT NAME"
"cp.ch.state","STATE"
"cp.ch.status","STATUS"
"cp.ch.subject","SUBJECT"
"cp.ch.target","TARGET"
"cp.ch.task","TASK"
"cp.ch.title","TITLE"
"cp.ch.translate","Translate"
"cp.ch.type","TYPE"
"cp.ch.user","USER"
"cp.ch.users","USERS"
"cp.ch.user_name","USER NAME"
"cp.ch.value","VALUE"
"cp.ch.weight","ORDER"
"cp.ch.version","VERSION"
"cp.err.add_org.sc_visibility_violated","This organization cannot be an owner of the project because it has no visibility to Survey Config ""{0}"", which is used in a product of the project"
"cp.err.already_in_config","The product is already in CONFIG mode"
"cp.err.already_in_prod","The product is already in LAUNCHED mode"
"cp.err.already_in_test","The product is already in TEST mode"
"cp.err.bad_request","Bad request."
"cp.err.cannot_start_prod","Cannot start product ""{0}"": "
"cp.err.cant_delete_sticky_task","This task cannot be deleted because it is sticky"
"cp.err.change_primary.sc_visibility_violated","The organization ""{0}"" cannot be an owner of the project because it has no visibility to Survey Config ""{1}"", which is used in a product of the project"
"cp.err.controbutor.has.task","This user cannot be deleted because he/she has active task assignment(s)."
"cp.err.duplicate_assignment_multi","This user is already assigned to the task"
"cp.err.duplicate_assignment_single","This task allows only a single assignment"
"cp.err.duplicated_product_name","The product name ""{0}"" is already used"
"cp.err.duplicated_project_name","The project name ""{0}"" is already used"
"cp.err.duplicated_survey_config_name","The suervey config name ""{0}"" is already used"
"cp.err.duplicated_survey_question","The indicator is already used by another survey question"
"cp.err.duplicated_target_name","The target name ""{0}"" is already used"
"cp.err.duplicated_target_short_name","The target short name ""{0}"" is already used"
"cp.err.duplicated_task_name","The task name ""{0}"" is already used"
"cp.err.duplicated_userfinder","A userfinder trigger already exists for the specified product and role"
"cp.err.exists_as_primary_admin","This user is already the project's primary admin"
"cp.err.exists_as_primary_owner","This organization is already the project's primary owner"
"cp.err.exists_as_secondary_admin","This user is already assigned as project's secondary admin"
"cp.err.exists_as_secondary_owner","This organization is already a secondary owner of the project"
"cp.err.exists_project_role","This role is already added to the project"
"cp.err.fail_invoke_stored_procedure","DB error occurred when invoking stored procedure"
"cp.err.goal_has_only_one_task","The task ""{0}"" cannot be deleted because it is the only task associated with the workflow goal ""{1}"""
"cp.err.goal_must_have_task","some goals don't have tasks"
"cp.err.horse_is_cancelled","The horse's status is already CANCELLED."
"cp.err.horse_must_be_cancelled","The horse's status must be CANCELLED."
"cp.err.horse_must_be_init","The horse's status must be INITIAL."
"cp.err.horse_must_be_init_or_stopped","The horse's status must be INITIAL or STOPPED."
"cp.err.horse_must_be_running","The horse's status must be RUNNING."
"cp.err.invalid_organization_id","This org id is invalid"
"cp.err.invalid_role_id","The role id is invalid"
"cp.err.invalid_task_def","The task definition is invalid"
"cp.err.invalid_toolid_and_type","The task's tool type is invalid"
"cp.err.invalid_user_id","The user id is invalid"
