"KEY","ENGLISH","FRENCH","SPANISH"
"common.alert.addcasenotes.fail","Failed to add {0} note!","Ajout de note {0} non effectué","¡Error al agregar nota  '{0}'!"
"common.alert.addcasenotes.success","Add note successfully!","Ajout de note faite avec succès","¡La nota se añadió con éxito!"
"common.alert.chngpasswd.fail","Change password failed!","Changement du code d'accès non effectué!","¡Error al cambiar contraseña!"
"common.alert.chngpasswd.success","Change password successfully!","Changement de code d'accès exécuté avec succés!","¡Contraseña cambiada exitosamente!"
"common.alert.createcase.fail","Create new case failed!","Ouverture de cas non effectuée","¡Error al crear caso!"
"common.alert.createcase.success","Create new case successfully!","Création de cas effectué avec succès","¡Caso creado exitosamente!"
"common.alert.fireuserfinder.fail","FAIL","ÉCHEC","ERROR"
"common.alert.fireuserfinder.success","SUCCESS","SUCCÈS","ÉXITO"
"common.alert.noanswer","This indicator has not been answered!","L'indicateur n'a pas été indiqué !","¡Este indicador no ha sido contestado!"
"common.alert.nomessage","Please enter the message","Veuillez introduire le message","Por favor ingresa el mensaje"
"common.alert.noreceiver","Please specify the receiver","Veuillez indiquer le nom du recepteur","Por favor especifica el destinatario"
"common.alert.nosubject","Please enter the subject","Veuillez introduire le thème du travail","Por favor ingresa el asunto"
"common.alert.surveyanswer.fail","Only English is supported in this version!","Cette version n'accepte que l'anglais !","¡Sólo se admite inglés en esta versión!"
"common.alert.surveyanswer.success","Thank you for your answer!","Merci pour votre réponse !","¡Gracias por responder!"
"common.alert.task.done","You have completed this assignment. Thank you!","Vous avez terminé la tâche assignée. Merci.","Has completado esta tarea. ¡Gracias!"
"common.alert.task.save","Notebook Saved!","Notebook sauvegardé!","¡Cuaderno guardado!"
"common.alert.upcatecase.fail","Update case failed!","Mise à jour de l'affaire non réalisée","¡Error al actualizar caso!"
"common.alert.upcatecase.success","Update case successfully!","Affaire mise à jour avec succès","¡Caso actualizado con éxito!"
"common.alert.invalidresponse","Invalid response!",,
"common.alt.answer","Answer","Réponse","Responder"
"common.alt.completed","completed","terminé","se ha completado"
"common.alt.historychart","history chart","tableau historique","tabla histórica"
"common.alt.inprogress","in progress","travail en cours","en proceso"
"common.alt.noticed","noticed","Pris en compte","enterado"
"common.alt.notstarted","not started","non commencé","no se ha  iniciado"
"common.alt.signedin","signed in","enregistré","registrado"
"common.alt.viewcontent","view content","vue du contenu","ver contenido"
"common.boolean.no","No","Non","No"
"common.boolean.yes","Yes","Oui","Sí"
"common.btn.add","Add","Ajout","Agregar"
"common.btn.addcomment","Add Comment","Ajoutez un commenatire","Agregar comentario"
"common.btn.apply","Apply","Appliquer","Aplicar"
"common.btn.browse","Browse","Sélectionnez un fichier","Navegue por la web"
"common.btn.cancel","Cancel","Éliminer ","Cancelar"
"common.btn.resolve","Resolve",,
"common.btn.completeAssignment","Complete Assignment",,"Completar asignatura"
"common.btn.copydeeplink","Copy Deep Link","Copier la liaison ","Copiar enlace profundo"
"common.btn.delete","delete",,"borrar"
"common.btn.done","Done","Réalisé","Hecho"
"common.btn.donesubmit","I'm Done - Submit","J'ai terminé - Je remets le travail","Terminé - enviar"
"common.btn.edit","Edit","Edition","Editar"
"common.btn.editdeadline","Edit Deadline","Délai de remise de l'édition","Editar fecha límite"
"common.btn.editdisabled","Editing Disabled","Édition non activée","Edición deshabilitada"
"common.btn.forward","Forward",,"Reenviar"
"common.btn.havequestions","I Have Questions","J'ai des questions à poser","Tengo preguntas"
"common.btn.ok","OK","OK","OK"
"common.btn.origanswer","Original Answer","Réponse iniciale","Respuesta original"
"common.btn.preview","Preview","Prévisualisation ","Vista previa"
"common.btn.publish","PUBLISH","PUBLIER","PUBLICAR"
"common.btn.publishthis","PUBLISH THIS","PUBLIER CECI","PUBLICAR ESTO"
"common.btn.refresh","Refresh",,"Refrescar"
"common.btn.report","Report",,
"common.btn.reset","Reset","Réinitialisation","Reiniciar"
"common.btn.save","Save","Sauvegarder","Guardar"
"common.btn.saved","Saved","sauvegardé","Guardado"
"common.btn.saveindicator","Save This Indicator","Sauvegarder cet indicateur ","Guardar este indicador"
"common.btn.sendFeedback","Send Feedback",,"Enviar retroalimentación"
"common.btn.sendmsg","Send Message","Envoyez le message","Enviar mensaje"
"common.btn.sendQuestions","Send Questions",,"Enviar preguntas"
